tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2005-06-02,1226,LA MATANZA Nº 09,Buenos Aires,Nacional,2005,17,SEDAN 5 PUERTAS,08,CHEVROLET,BE,CORSA II 5P GL AA/DI GAS 1.8,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Masculino,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2012-09-10,1227,LA MATANZA Nº 10,Buenos Aires,Importado,2012,02,SEDAN 4 PUERTAS,136,VOLKSWAGEN,467,VOLKSWAGEN VENTO 2.0 TSI,1,Privado,Física,RAFAEL CASTILLO,BUENOS AIRES,Masculino,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2011-01-25,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2011,12,SEDAN 4 PUERTAS,17,FIAT,AW,SIENA ESSENCE 1.6 16V BZ,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,No identificado,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2011-08-29,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2011,22,FURGON,07,CITROEN,AG,BERLINGO FURGON 1.6I HDI FULL AM52,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2016-08-02,1231,TRES DE FEBRERO Nº 5,Buenos Aires,Protocolo 21,2016,04,RURAL 5 PUERTAS,027,CITROEN,386,C3 AIRCROSS 115 FEEL,1,Privado,Física,PABLO PODESTA,BUENOS AIRES,Femenino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2011-10-04,1231,TRES DE FEBRERO Nº 5,Buenos Aires,Protocolo 21,2011,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,463,GOL 1.4 L,1,Privado,Física,PABLO PODESTA,BUENOS AIRES,Masculino,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2012-02-14,1234,ADROGUE Nº 4,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,ADROGUE,BUENOS AIRES,Femenino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1999-09-16,1234,ADROGUE Nº 4,Buenos Aires,Nacional,1999,,BERLINA 3 PTAS.,37,RENAULT,CA,CLIO RL 3PTAS.,1,Privado,Física,CLAYPOLE,BUENOS AIRES,Masculino,1964,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2008-10-28,1240,JOSE C. PAZ Nº 1,Buenos Aires,Protocolo 21,2008,02,SEDAN 4 PTAS,044,FIAT,646,SIENA ELX 1.4 8V,1,Privado,Física,JOSE C PAZ,BUENOS AIRES,No identificado,1989,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-08-16,16001,CIPOLLETTI Nº 1,Río Negro,Nacional,2013,22,FURGON,34,PEUGEOT,LJ,PARTNER CONFORT HDI 1.6,1,Privado,Física,CIPOLLETTI,RIO NEGRO,Femenino,1984,ARGENTINA,100,62,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2004-02-13,1247,GENERAL RODRIGUEZ Nº 2,Buenos Aires,Protocolo 21,2004,05,SEDAN 5 PTAS,047,FORD,583,FIESTA AMBIENTE 5P,1,Privado,Física,GENERAL RODRÍGUEZ,BUENOS AIRES,Masculino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2014-04-24,1250,ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11 RESOL. MJS. Y DHNº 1487/09),Buenos Aires,Protocolo 21,2014,04,RURAL 5 PUERTAS,047,FORD,A03,ECOSPORT TITANIUM 2.0L MT N,1,Privado,Física,ITUZAINGO,BUENOS AIRES,No identificado,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2015-02-13,1252,QUILMES Nº 5 (EX 9),Buenos Aires,Protocolo 21,2015,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,532,TAKE UP! 1.0 MPI,1,Privado,Física,QUILMES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2006-05-05,1252,QUILMES Nº 5 (EX 9),Buenos Aires,Protocolo 21,2006,05,SEDAN 5 PUERTAS,127,SUZUKI,706,FUN 1.4,1,Privado,Física,SAN FCO. SOLANO,BUENOS AIRES,No identificado,1998,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1996-02-23,1259,SAN MARTIN Nº 8,Buenos Aires,Nacional,1996,41,FAMILIAR,17,FIAT,76,DUNA WE SCR,1,Privado,Física,BILLINGHURST,BUENOS AIRES,Femenino,1981,ARGENTINA,100,06,200
